                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.0659,                 1.5968,                 1.2815,                0.72553,                0.66135,                0.67246,                0.43902,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                0.99608,                 1.4675,                  1.259,                0.66322,                0.66667,                0.60613,                0.47612,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                 1.0382,                 1.6229,                 1.2861,                0.66322,                0.66667,                0.60613,                0.47612,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.99868,                 1.4305,                 1.2264,                 0.7735,                 0.5705,                0.67244,                0.53375,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.89243,                 1.3311,                 1.2345,                0.58869,                0.66667,                0.66152,                0.53989,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                 1.0314,                 1.5672,                 1.2983,                0.69938,                0.58179,                0.61812,                0.45833,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                 0.9865,                 1.5175,                   1.28,                0.69938,                0.58179,                0.61812,                0.45833,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                 1.1005,                 1.4823,                 1.3423,                0.55184,                   0.75,                0.72014,                0.52236,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.92352,                 1.3355,                 1.1982,                0.57975,                   0.75,                0.72654,                0.44588,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.90283,                 1.3953,                 1.1944,                0.70671,                0.66667,                 0.7801,                0.51609,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.98965,                 1.4793,                 1.3214,                0.70671,                0.66667,                 0.7801,                0.51609,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                 0.9802,                 1.4124,                 1.2735,                0.88856,                0.66468,                0.81041,                0.49533,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.93789,                 1.3585,                 1.2137,                0.86595,                0.66667,                 0.8237,                0.52919,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                 1.0046,                 1.4052,                 1.2894,                0.62914,                      1,                0.84833,                0.54237,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.97918,                 1.3321,                 1.2542,                0.62914,                      1,                0.84833,                0.54237,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.88915,                 1.3229,                 1.1558,                0.61171,                 0.9191,                0.82954,                0.53428,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 0.8594,                 1.3038,                 1.1835,                0.71977,                0.91667,                0.89888,                0.58051,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                0.96955,                 1.3939,                 1.2356,                0.68398,                0.83333,                 0.8647,                0.57202,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                0.92294,                  1.339,                 1.1739,                0.68398,                0.83333,                 0.8647,                0.57202,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.92826,                 1.3122,                 1.1764,                0.71526,                0.91667,                 0.8813,                0.58473,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     78,                0.84112,                 1.2338,                 1.1152,                0.69995,                0.83333,                0.87577,                0.59469,                      0,                    inf,                      0,               0.002377,               0.002377,               0.002377
                     79,                0.86764,                 1.4035,                 1.1795,                0.78896,                0.66667,                0.84865,                0.59189,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     80,                0.89109,                 1.1814,                 1.1721,                0.78896,                0.66667,                0.84865,                0.59189,                      0,                    inf,                      0,               0.002179,               0.002179,               0.002179
                     81,                0.90124,                 1.3118,                 1.2093,                0.76178,                0.83333,                0.88262,                0.58927,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     82,                0.94645,                 1.4551,                 1.2591,                0.85779,                0.66667,                0.84323,                0.57179,                      0,                    inf,                      0,               0.001981,               0.001981,               0.001981
                     83,                0.86934,                 1.2964,                 1.1975,                 0.6098,                0.91667,                0.81899,                0.63047,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     84,                0.83786,                 1.1984,                 1.1861,                 0.6098,                0.91667,                0.81899,                0.63047,                      0,                    inf,                      0,               0.001783,               0.001783,               0.001783
                     85,                0.83869,                 1.1957,                 1.1519,                0.59312,                0.91667,                0.82609,                0.61342,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     86,                0.87813,                 1.1801,                 1.1435,                0.63425,                0.91667,                0.83194,                0.61577,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     87,                0.83461,                 1.1699,                 1.1583,                0.77712,                0.87322,                0.87258,                0.63822,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     88,                0.84684,                 1.2252,                 1.1382,                0.77712,                0.87322,                0.87258,                0.63822,                      0,                    inf,                      0,               0.001387,               0.001387,               0.001387
                     89,                0.90201,                 1.1824,                 1.1553,                0.76847,                0.83005,                0.86957,                0.59913,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     90,                0.72691,                 1.4458,                 1.1839,                0.61933,                      1,                0.85366,                0.59018,                      0,                    inf,                      0,               0.001189,               0.001189,               0.001189
                     91,                0.75987,                 1.4749,                  1.174,                0.83692,                0.91667,                0.91185,                0.63103,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     92,                0.75827,                 1.3951,                   1.17,                0.83692,                0.91667,                0.91185,                0.63103,                      0,                    inf,                      0,               0.000991,               0.000991,               0.000991
                     93,                0.81496,                 1.3943,                 1.1625,                0.84408,                0.90317,                0.93456,                0.65855,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     94,                0.71927,                 1.3286,                 1.1368,                0.91615,                0.91667,                0.96071,                 0.6568,                      0,                    inf,                      0,               0.000793,               0.000793,               0.000793
                     95,                 0.6566,                 1.3054,                 1.1512,                0.97923,                0.91667,                  0.963,                  0.664,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     96,                0.65001,                 1.2712,                 1.1167,                0.97923,                0.91667,                  0.963,                  0.664,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     97,                0.74701,                 1.3088,                 1.1545,                0.97749,                0.91667,                0.96553,                0.65868,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
                     98,                0.77473,                 1.4078,                 1.1429,                      1,                0.90994,                0.96833,                0.62456,                      0,                    inf,                      0,               0.000397,               0.000397,               0.000397
                     99,                0.70769,                 1.2679,                 1.1206,                      1,                0.91315,                0.97147,                0.63938,                      0,                    inf,                      0,               0.000298,               0.000298,               0.000298
